ISO Code	Language Name	Population Size	Vitality	Digital Support
ane	Xârâcùù	Less than 10K	Stable	Emerging
anf	Animere	None	Endangered	Still
anh	Nend	Less than 10K	Endangered	Emerging
ani	Andi	10K to 1M	Endangered	Emerging
anj	Anor	Less than 10K	Stable	Still
ank	Goemai	10K to 1M	Endangered	Emerging
anl	Chin, Anu-Khongso	Less than 10K	Endangered	Emerging
anm	Anal	10K to 1M	Stable	Emerging
ann	Obolo	10K to 1M	Stable	Ascending
ano	Andoque	Less than 10K	Endangered	Emerging
anp	Angika	1M to 1B	Stable	Ascending
anq	Jarawa	Less than 10K	Stable	Emerging
anr	Andh	10K to 1M	Endangered	Still
ans	Anserma	None	Extinct	Still
ant	Antikarinya	None	Endangered	Still
anu	Anuak	10K to 1M	Stable	Ascending
anv	Denya	10K to 1M	Stable	Ascending
anw	Anaang	1M to 1B	Stable	Emerging
anx	Andra-Hus	Less than 10K	Stable	Still
any	Anyin	1M to 1B	Stable	Ascending
anz	Anem	Less than 10K	Stable	Still
aoa	Angolar	Less than 10K	Endangered	Emerging
aob	Abom	None	Endangered	Still
aoc	Pemon	10K to 1M	Endangered	Ascending
aod	Andarum	Less than 10K	Stable	Still
aoe	Angal Enen	10K to 1M	Stable	Still
aof	Bragat	Less than 10K	Stable	Emerging
aog	Angoram	Less than 10K	Stable	Still
aoi	Anindilyakwa	Less than 10K	Stable	Emerging
aoj	Mufian	10K to 1M	Endangered	Emerging
aok	Arhö	None	Endangered	Still
aol	Alor	10K to 1M	Stable	Emerging
aom	Ömie	Less than 10K	Stable	Emerging
aon	Weri	Less than 10K	Endangered	Emerging
aor	Aore	None	Extinct	Still
aos	Taikat	Less than 10K	Endangered	Still
aot	Atong	10K to 1M	Endangered	Still
aou	A’ou	None	Endangered	Still
aox	Atorada	None	Endangered	Still
aoz	Uab Meto	10K to 1M	Stable	Ascending
apb	Saꞌa	10K to 1M	Institutional	Emerging
apc	Levantine Arabic	1M to 1B	Institutional	Ascending
apd	Sudanese Arabic	1M to 1B	Institutional	Ascending
ape	Bukiyip	10K to 1M	Endangered	Emerging
apf	Pahanan Agta	Less than 10K	Stable	Emerging
apg	Ampanang	None	Extinct	Still
aph	Athpariya	Less than 10K	Endangered	Ascending
api	Apiaká	None	Endangered	Still
apj	Jicarilla Apache	Less than 10K	Endangered	Emerging
apk	Apache, Kiowa	None	Endangered	Emerging
apl	Apache, Lipan	None	Endangered	Emerging
apm	Mescalero-Chiricahua Apache	Less than 10K	Endangered	Emerging
apn	Apinagé	Less than 10K	Stable	Emerging
apo	Ambul	Less than 10K	Stable	Still
app	Apma	10K to 1M	Stable	Emerging
apq	A-Pucikwar	None	Extinct	Still
apr	Arop-Lokep	Less than 10K	Stable	Emerging
aps	Orop	Less than 10K	Stable	Emerging
apt	Apatani	10K to 1M	Endangered	Emerging
apu	Apurinã	Less than 10K	Endangered	Emerging
apv	Alapmunte	None	Extinct	Still
apw	Western Apache	10K to 1M	Endangered	Ascending
apx	Aputai	Less than 10K	Endangered	Still
apy	Apalaí	Less than 10K	Stable	Emerging
apz	Safeyoka	Less than 10K	Stable	Emerging
aqc	Archi	Less than 10K	Endangered	Emerging
aqd	Dogon, Ampari	Less than 10K	Stable	Still
aqg	Arigidi	10K to 1M	Stable	Ascending
aqk	Aninka	Less than 10K	Stable	Still
aqm	Atohwaim	Less than 10K	Endangered	Still
aqn	Alta, Northern	Less than 10K	Endangered	Emerging
aqp	Atakapa	None	Extinct	Still
aqr	Arhâ	Less than 10K	Endangered	Still
aqt	Angaité	Less than 10K	Endangered	Still
aqz	Akuntsu	None	Endangered	Still
arb	Standard Arabic	1M to 1B	Institutional	Thriving
ard	Arabana	None	Endangered	Still
are	Western Arrarnta	Less than 10K	Stable	Emerging
arg	Aragonese	10K to 1M	Endangered	Vital
arh	Arhuaco	Less than 10K	Stable	Ascending
ari	Arikara	None	Endangered	Emerging
arj	Arapaso	None	Endangered	Still
ark	Arikapú	None	Endangered	Still
arl	Arabela	None	Endangered	Ascending
arn	Mapudungun	10K to 1M	Endangered	Ascending
aro	Araona	Less than 10K	Endangered	Emerging
arp	Arapaho	Less than 10K	Endangered	Ascending
arq	Algerian Arabic	1M to 1B	Institutional	Ascending
arr	Karo	Less than 10K	Stable	Still
ars	Najdi Arabic	1M to 1B	Institutional	Ascending
aru	Aruá	None	Extinct	Still
arv	Arbore	10K to 1M	Stable	Emerging
arw	Arawak	Less than 10K	Endangered	Emerging
arx	Aruá	None	Endangered	Still
ary	Moroccan Arabic	1M to 1B	Institutional	Ascending
arz	Egyptian Arabic	1M to 1B	Institutional	Ascending
asa	Asu	10K to 1M	Stable	Ascending
asb	Assiniboine	Less than 10K	Endangered	Emerging
asc	Asmat, Casuarina Coast	Less than 10K	Endangered	Emerging
ase	American Sign Language	1M to 1B	Stable	Ascending
asf	Auslan	10K to 1M	Stable	Emerging
asg	Cishingini	10K to 1M	Stable	Emerging
ash	Awishira	None	Extinct	Still
asi	Buruwai	Less than 10K	Endangered	Still
asj	Sari	Less than 10K	Stable	Emerging
ask	Ashkun	10K to 1M	Stable	Emerging
asl	Asilulu	Less than 10K	Endangered	Still
asm	Assamese	1M to 1B	Institutional	Vital
asn	Asurini of Xingú	Less than 10K	Endangered	Still
aso	Dano	10K to 1M	Stable	Emerging
asp	Algerian Sign Language	10K to 1M	Stable	Still
asq	Austrian Sign Language	Less than 10K	Stable	Still
asr	Asuri	Less than 10K	Stable	Still
ass	Ipulo	Less than 10K	Stable	Emerging
ast	Asturian	10K to 1M	Endangered	Vital
asu	Tocantins Asurini	Less than 10K	Endangered	Still
asv	Asoa	10K to 1M	Stable	Emerging
asw	Australian Aboriginal Sign Language	None	Endangered	Still
asx	Muratayak	Less than 10K	Stable	Still
asy	Yaosakor Asmat	Less than 10K	Endangered	Still
asz	As	None	Endangered	Still
ata	Pele-Ata	Less than 10K	Stable	Emerging
atb	Zaiwa	10K to 1M	Stable	Ascending
atc	Atsahuaca	None	Extinct	Still
atd	Ata Manobo	10K to 1M	Stable	Ascending
ate	Mand	None	Endangered	Still
atg	Ivbie North-Okpela-Arhe	10K to 1M	Stable	Ascending
ati	Attié	10K to 1M	Stable	Emerging
atj	Atikamekw	Less than 10K	Stable	Ascending
atk	Ati	Less than 10K	Endangered	Still
atl	Agta, Mt. Iraya	Less than 10K	Endangered	Still
atm	Ata	None	Endangered	Emerging
atn	Ashtiani	10K to 1M	Endangered	Still
ato	Atong	Less than 10K	Endangered	Emerging
atp	Atta, Pudtol	Less than 10K	Endangered	Still
atq	Aralle-Tabulahan	10K to 1M	Stable	Emerging
atr	Waimiri-Atroarí	Less than 10K	Stable	Still
ats	Gros Ventre	None	Endangered	Emerging
att	Pamplona Atta	Less than 10K	Endangered	Emerging
atu	Reel	10K to 1M	Stable	Still
atv	Northern Altai	10K to 1M	Endangered	Emerging
atw	Atsugewi	None	Endangered	Still
atx	Arutani	None	Endangered	Still
aty	Aneityum	Less than 10K	Stable	Emerging
atz	Arta	None	Endangered	Emerging
aua	Asumboa	Less than 10K	Endangered	Still
aub	Alugu	Less than 10K	Stable	Still
auc	Waorani	Less than 10K	Endangered	Ascending
aud	Anuta	Less than 10K	Endangered	Emerging
aug	Aguna	10K to 1M	Stable	Still
auh	Aushi	10K to 1M	Stable	Still
aui	Anuki	Less than 10K	Endangered	Emerging
auj	Awjilah	Less than 10K	Endangered	Emerging
auk	Heiyoho	Less than 10K	Endangered	Still
aul	Aulua	Less than 10K	Stable	Still
aum	Asu	Less than 10K	Endangered	Still
aun	Molmo One	Less than 10K	Endangered	Still
auo	Auyokawa	None	Extinct	Still
aup	Makayam	Less than 10K	Stable	Still
auq	Anus	Less than 10K	Endangered	Still
aur	Aruek	Less than 10K	Stable	Still
aut	Austral	Less than 10K	Endangered	Emerging
auu	Auye	Less than 10K	Stable	Emerging
auw	Awyi	Less than 10K	Endangered	Still
aux	Aurá	None	Extinct	Still
auy	Awiyaana	10K to 1M	Stable	Emerging
auz	Arabic, Uzbeki	Less than 10K	Endangered	Emerging
ava	Avar	10K to 1M	Institutional	Ascending
avb	Avau	Less than 10K	Stable	Still
avd	Alviri-Vidari	None	Endangered	Still
ave	Avestan	None	Extinct	Ascending
avi	Avikam	10K to 1M	Stable	Still
avl	Eastern Egyptian Bedawi Arabic	1M to 1B	Stable	Emerging
avm	Angkamuthi	None	Endangered	Still
avn	Avatime	10K to 1M	Stable	Ascending
avo	Agavotaguerra	None	Extinct	Still
avs	Aushiri	None	Extinct	Still
avt	Au	Less than 10K	Stable	Emerging
avu	Avokaya	10K to 1M	Stable	Ascending
avv	Avá-Canoeiro	None	Endangered	Still
awa	Awadhi	1M to 1B	Institutional	Ascending
awb	Awa	Less than 10K	Stable	Emerging
awc	Cicipu	10K to 1M	Stable	Emerging
awe	Awetí	Less than 10K	Endangered	Still
awg	Anguthimri	None	Endangered	Still
awh	Awbono	Less than 10K	Endangered	Still
awi	Aekyom	10K to 1M	Stable	Still
awk	Awabakal	None	Endangered	Still
awm	Taupi	Less than 10K	Stable	Still
awn	Awngi	10K to 1M	Stable	Emerging
awo	Awak	Less than 10K	Stable	Emerging
awr	Awera	None	Endangered	Still
aws	Awyu, South	Less than 10K	Endangered	Still
awt	Araweté	Less than 10K	Stable	Still
awu	Auyu, Central	Less than 10K	Endangered	Still
awv	Awyu, Jair	Less than 10K	Endangered	Still
aww	Awun	Less than 10K	Endangered	Still
awx	Awara	Less than 10K	Stable	Emerging
awy	Awyu, Edera	Less than 10K	Endangered	Still
axb	Abipon	None	Extinct	Still
axe	Ayerrerenge	None	Extinct	Still
axg	Arára, Mato Grosso	None	Endangered	Still
axk	Yaka	10K to 1M	Stable	Still
axl	Aranda, Lower Southern	None	Endangered	Still
axx	Xârâgurè	Less than 10K	Endangered	Still
aya	Awar	Less than 10K	Endangered	Still
ayb	Ayizo Gbe	10K to 1M	Stable	Emerging
ayc	Aymara, Southern	10K to 1M	Stable	Ascending
ayd	Ayabadhu	None	Extinct	Still
aye	Oyuwu	Less than 10K	Endangered	Still
ayg	Ginyanga	10K to 1M	Stable	Emerging
ayh	Arabic, Hadrami	1M to 1B	Stable	Emerging
ayi	Leyigha	Less than 10K	Stable	Still
ayk	Akuku	Less than 10K	Stable	Still
ayl	Libyan Arabic	1M to 1B	Institutional	Ascending
ayn	Sanaani Arabic	1M to 1B	Stable	Emerging
ayo	Ayoreo	Less than 10K	Stable	Emerging
ayp	North Mesopotamian Arabic	1M to 1B	Stable	Emerging
ayq	Ayi	Less than 10K	Stable	Still
ayr	Central Aymara	1M to 1B	Stable	Vital
ays	Ayta, Sorsogon	None	Endangered	Still
ayt	Magbukun Ayta	Less than 10K	Endangered	Still
ayu	Ayu	Less than 10K	Endangered	Still
ayz	Mai Brat	10K to 1M	Stable	Emerging
aza	Azha	10K to 1M	Stable	Still
azb	South Azerbaijani	1M to 1B	Institutional	Ascending
azd	Eastern Durango Nahuatl	Less than 10K	Endangered	Emerging
azg	San Pedro Amuzgos Amuzgo	Less than 10K	Stable	Emerging
azj	North Azerbaijani	1M to 1B	Institutional	Vital
azm	Ipalapa Amuzgo	Less than 10K	Endangered	Still
azn	Western Durango Nahuatl	Less than 10K	Stable	Emerging
azo	Awing	10K to 1M	Stable	Ascending
azt	Atta, Faire	Less than 10K	Endangered	Still
azz	Highland Puebla Nahuatl	10K to 1M	Stable	Ascending
baa	Babatana	10K to 1M	Stable	Emerging
bab	Bainouk-Gunyuño	Less than 10K	Endangered	Still
bac	Baduy	10K to 1M	Endangered	Emerging
bae	Baré	None	Endangered	Still
baf	Nubaca	Less than 10K	Endangered	Emerging
bag	Tuki	10K to 1M	Stable	Emerging
bah	Bahamas English Creole	10K to 1M	Stable	Ascending
baj	Barakai	Less than 10K	Endangered	Still
bak	Bashkort	1M to 1B	Institutional	Vital
bam	Bamanankan	1M to 1B	Institutional	Ascending
ban	Bali	1M to 1B	Stable	Ascending
bao	Waimaha	Less than 10K	Stable	Emerging
bap	Bantawa	10K to 1M	Endangered	Ascending
bar	Bavarian	1M to 1B	Stable	Ascending
bas	Basaa	10K to 1M	Stable	Ascending
bau	Mbat	10K to 1M	Stable	Still
bav	Vengo	10K to 1M	Stable	Ascending
baw	Bambili-Bambui	10K to 1M	Stable	Emerging
bax	Bamun	10K to 1M	Institutional	Ascending
bay	Gwatlelir	Less than 10K	Endangered	Emerging
bba	Baatonum	1M to 1B	Institutional	Ascending
bbb	Barai	Less than 10K	Stable	Emerging
bbc	Batak Toba	1M to 1B	Endangered	Ascending
bbd	Fulumu	Less than 10K	Endangered	Emerging
bbe	Bangba	10K to 1M	Stable	Emerging
bbf	Baibai	Less than 10K	Stable	Still
bbg	Barama	Less than 10K	Endangered	Still
bbh	Bugan	Less than 10K	Stable	Emerging
bbi	Barombi	Less than 10K	Endangered	Emerging
bbj	Ghomálá’	10K to 1M	Stable	Ascending
bbk	Babanki	10K to 1M	Stable	Ascending
bbl	Bats	Less than 10K	Endangered	Emerging
bbm	Babango	Less than 10K	Stable	Emerging
bbn	Uneapa	10K to 1M	Stable	Emerging
bbo	Konabéré	10K to 1M	Stable	Emerging
bbp	Banda, West Central	Less than 10K	Stable	Emerging
bbq	Chopechop	10K to 1M	Stable	Emerging
bbr	Girawa	Less than 10K	Stable	Emerging
bbs	Iyongiyong	Less than 10K	Endangered	Still
bbt	Burku	Less than 10K	Stable	Still
bbu	Kulung	10K to 1M	Stable	Emerging
bbv	Karnai	Less than 10K	Stable	Still
bbw	Supapya	10K to 1M	Stable	Emerging
bbx	Bubia	None	Endangered	Emerging
bby	Befang	Less than 10K	Endangered	Emerging
bca	Central Bai	10K to 1M	Stable	Emerging
bcb	Bainouk-Samik	Less than 10K	Endangered	Still
bcc	Southern Balochi	1M to 1B	Stable	Ascending
bcd	Babar, North	Less than 10K	Endangered	Still
bce	Mengambo	Less than 10K	Stable	Emerging
bcf	Bamu	Less than 10K	Institutional	Emerging
bcg	Baga Pokur	Less than 10K	Endangered	Still
bch	Bariai	Less than 10K	Stable	Ascending
bci	Baoulé	1M to 1B	Stable	Ascending
bcj	Bardi	None	Endangered	Emerging
bck	Bunuba	Less than 10K	Endangered	Still
bcl	Central Bikol	1M to 1B	Institutional	Ascending
bcm	Bannoni	Less than 10K	Stable	Emerging
bcn	Bali	Less than 10K	Stable	Ascending
bco	Kaluli	Less than 10K	Institutional	Emerging
bcp	Bali	10K to 1M	Stable	Emerging
bcq	Bench	10K to 1M	Institutional	Ascending
bcr	Babine	Less than 10K	Endangered	Emerging
bcs	Hohumono	10K to 1M	Stable	Still
bct	Bendi	10K to 1M	Stable	Emerging
bcu	Awad Bing	Less than 10K	Stable	Emerging
