#url	https://www.ohchr.org/en/search?f%5B0%5D=event_type_taxonomy_term_name%3AUniversal%20Declaration%20of%20Human%20Rights		https://www.ohchr.org/en/human-rights/universal-declaration/translations/
#dateAccessed	2025-04-11		
#notes	Languages matched to language codes manually		
Language Path	Name	Variant	DocumentURL
suz/sure1238	Surel (Sunwar)		surel-sunwar
skj/tang1333	Tangbe (Seke)		tangbe-seke
ola	Tokpegola		tokpegola
ybh	Yakkha		yakkha
xsr	Sherpa		sherpa
suz	Koits-Sunuwar		koits-sunuwar
piu	Pintupi-Luritja		pintupi-luritja
tji	Bizisa		bizisa
zdj	Shingazidja		shingazidja
tji/baoj1238	Mijisa		mijisa
mis	Muzzi		muzzi
orh	Oroqen		oroqen
mmd	Maiunan		maiunan
zho/yue	Cantonese		cantonese
zho/cmn/chen1267	Minjiang (spoken)	Latn	minjiang-spoken
zho/cmn/chen1267	Minjiang (written)	Latn	minjiang-written
duu	Tyrung		tyrung
mon/mvf	Mongolian (Inner Mongolian)		mongolian-inner-mongolian
jpn/osak1237	Osaka Ben		osaka-ben
tji	Tujia		tujia
zho/wuu	Shanghai		shanghai
jpn/toky1238	Tokyo Ben		tokyo-ben
slr	Salar		salar
cmn/guiy1236	Guiyang		guiyang
cmn/nanj1234	Nanjing		nanjing
cmn/tian1238	Tianjin		tianjin
zho/hsn	Xiang		xiang
zho/hak	Hakka		hakka
ami	Amis		amis
trn	Moxeño Trinitario		moxeno-trinitario
srq	Sirionó		siriono
mtp	Weenhayek		weenhayek
ayo	Ayoreo		ayoreo
cas	T’Simane		tsimane
yuz	Yuracaré		yuracare
tna	Tacana		tacana
ese	Ese Ejja		ese-ejja
grn	Guaraní		guarani-0
zho/cjy	Jin Yu		jin-yu
zho/cmn/haer1234	Harbin		harbin
zho/nan/taib1242	Hokkien		hokkien
zho/gan	Gan		gan
zho/cmn/beij1234	Beijing		beijing
zho/cmn/jina1245	Jinan		jinan
fra/lorr1242	Welche		welche
sms	Skolt Saami		skolt-saami
smn	Inari Saami		inari-saami
sme	North Saami		north-saami
tpu	Tumpoun		tumpoun
rup	Aromanian		aromanian
cbi	Chachi		chachi
chr	Cherokee		cherokee
glv	Manx		manx
tuk	Turkmen (Latin)	Latn	turkmen-latin
kib	Kibajuni		kibajuni
jii	Jiiddu		jiiddu
swa/chim1312	Chimwiini		chimwiini
dbr	Dabarre		dabarre
gex	Garre		garre
ltz	Luxembourgish (Lëtzebuergesch)		luxembourgish-letzebuergesch
kab	Kabyle		kabye-0
