Title	Endonym	Status	Language	"Script (ISO
15924 code)"	"WP
code"	Language Code (if not Wikipedia Code)	Recovered language name	Articles	"Active
users"	Launch date	Launch Date	URL
Wikipedia Dungan	Хуэйзў йүян	Incubator			dng		Dungan					https://incubator.wikimedia.org/wiki/Wp/dng
Wikipedia Dan	Yacouba	Incubator			dnj		Dan					https://incubator.wikimedia.org/wiki/Wp/dnj
Wikipedia Rukai	Rukai	Incubator			dru		Rukai					https://incubator.wikimedia.org/wiki/Wp/dru
Wikipedia Duala	Duálá	Incubator			dua		Duala					https://incubator.wikimedia.org/wiki/Wp/dua
Wikipedia Efik	Usem Efịk	Incubator			efi		Efik					https://incubator.wikimedia.org/wiki/Wp/efi
Wikipedia Ekpeye	ẹkpeye	Incubator			ekp		Ekpeye					https://incubator.wikimedia.org/wiki/Wp/ekp
Wikipedia Eastern Kayah	ကယး လီူး	Incubator			eky		Eastern Kayah					https://incubator.wikimedia.org/wiki/Wp/eky
Wikipedia Enets	Онэй базаан	Incubator			enf		Forest Enets					https://incubator.wikimedia.org/wiki/Wp/enf
Wikipedia Aheri Gondi	गोण्डि	Incubator			esg		Aheri Gondi					https://incubator.wikimedia.org/wiki/Wp/esg
Wikipedia Siberian Yupik	Юпик / Yupik	Incubator			ess		Central Siberian Yupik					https://incubator.wikimedia.org/wiki/Wp/ess
Wikipedia Central Alaskan Yup'ik	Yugtun	Incubator			esu		Central Yupik					https://incubator.wikimedia.org/wiki/Wp/esu
Wikipedia Evenki	Эвэды̄ турэ̄н	Incubator			evn		Evenki					https://incubator.wikimedia.org/wiki/Wp/evn
Wikipedia Meänkieli	meänkieli	Incubator			fit		Tornedalen Finnish					https://incubator.wikimedia.org/wiki/Wp/fit
Wikipedia Kven	Kainun	Incubator			fkv		Kven Finnish					https://incubator.wikimedia.org/wiki/Wp/fkv
Wikipedia Salish-Spokane-Kalispel	Séliš	Incubator			fla		Kalispel-Pend d'Oreille					https://incubator.wikimedia.org/wiki/Wp/fla
Wikipedia Cajun French	français cadien/français cadjin	Incubator			frc		Cajun French					https://incubator.wikimedia.org/wiki/Wp/frc
Wikipedia East Frisian Low Saxon	Ōstfräisk	Incubator			frs		Eastern Frisian					https://incubator.wikimedia.org/wiki/Wp/frs
Wikipedia Fur	poor’íŋ belé’ŋ	Incubator			fvr		Fur					https://incubator.wikimedia.org/wiki/Wp/fvr
Wikipedia Ga	Gã	Incubator			gaa		Ga					https://incubator.wikimedia.org/wiki/Wp/gaa
Wikipedia Gayo	Basa Gayo	Incubator			gay		Gayo					https://incubator.wikimedia.org/wiki/Wp/gay
Wikipedia Garhwali	गढ़वाली	Incubator			gbm		Garhwali					https://incubator.wikimedia.org/wiki/Wp/gbm
Wikipedia Guadeloupean Creole	kreyòl	Incubator			gcf		Guadeloupean Creole French					https://incubator.wikimedia.org/wiki/Wp/gcf
Wikipedia Colonia Tovar	Alemán Coloniero	Incubator			gct		Colonia Tovar German					https://incubator.wikimedia.org/wiki/Wp/gct
Wikipedia Godoberi	ГъибдилIи мицци	Incubator			gdo		Ghodoberi					https://incubator.wikimedia.org/wiki/Wp/gdo
Wikipedia Gilbertese	Taetae ni kiribati	Incubator			gil		Gilbertese					https://incubator.wikimedia.org/wiki/Wp/gil
Wikipedia Nanai	Нанай	Incubator			gld		Nanai					https://incubator.wikimedia.org/wiki/Wp/gld
Wikipedia Ancient Greek	Ἑλληνική	Incubator			grc		Ancient Greek (to 1453)					https://incubator.wikimedia.org/wiki/Wp/grc
Wikipedia Garo	A·chikku	Incubator			grt		Garo					https://incubator.wikimedia.org/wiki/Wp/grt
Wikipedia Hän	Häł gołan	Incubator			haa		Han					https://incubator.wikimedia.org/wiki/Wp/haa
Wikipedia Gorani	گۆرانی	Incubator			hac		Gurani					https://incubator.wikimedia.org/wiki/Wp/hac
Wikipedia Harari	ሀረሪ	Incubator			har		Harari					https://incubator.wikimedia.org/wiki/Wp/har
Wikipedia Hiligaynon	Hiligaynon	Incubator			hil		Hiligaynon					https://incubator.wikimedia.org/wiki/Wp/hil
Wikipedia Haji	Bahasa Haji	Incubator			hji		Haji					https://incubator.wikimedia.org/wiki/Wp/hji
Wikipedia Hunde	Kihunde	Incubator			hke		Hunde					https://incubator.wikimedia.org/wiki/Wp/hke
Wikipedia Hmar	Manmasi	Incubator			hmr		Hmar					https://incubator.wikimedia.org/wiki/Wp/hmr
Wikipedia Chhattisgarhi	छत्तीसगढ़ी	Incubator			hne		Chhattisgarhi					https://incubator.wikimedia.org/wiki/Wp/hne
Wikipedia Hani	Haqniqdoq	Incubator			hni		Hani					https://incubator.wikimedia.org/wiki/Wp/hni
Wikipedia Hiri Motu	Hiri Motu	Incubator			ho		Hiri Motu					https://incubator.wikimedia.org/wiki/Wp/ho
Wikipedia Ho	𑢹𑣉𑣉 𑣎𑣋𑣜	Incubator			hoc		Ho					https://incubator.wikimedia.org/wiki/Wp/hoc
Wikipedia Hunsrik	Riograndenser Hunsrückisch	Incubator			hrx		Hunsrik					https://incubator.wikimedia.org/wiki/Wp/hrx
Wikipedia Xiang	湘语	Incubator			hsn		Xiang Chinese					https://incubator.wikimedia.org/wiki/Wp/hsn
Wikipedia Herero	Otjiherero	Incubator			hz		Herero					https://incubator.wikimedia.org/wiki/Wp/hz
Wikipedia Iban	Jaku Iban	Incubator			iba		Iban					https://incubator.wikimedia.org/wiki/Wp/iba
Wikipedia Ibibio	Usem Ibibio	Incubator			ibb		Ibibio					https://incubator.wikimedia.org/wiki/Wp/ibb
Wikipedia Idoma	Ìdɔ́mà	Incubator			idu		Idoma					https://incubator.wikimedia.org/wiki/Wp/idu
Wikipedia Sichuan Yi	ꆇꉙ	Incubator			ii		Sichuan Yi					https://incubator.wikimedia.org/wiki/Wp/ii
Wikipedia Inuinnaqtun	Inuinnaqtun / ᐃᓄᐃᓐᓇᖅᑐᓐ‎	Incubator			ikt		Inuinnaqtun					https://incubator.wikimedia.org/wiki/Wp/ikt
Wikipedia Iranun	Iranun	Incubator			ilp		Iranun (Philippines)					https://incubator.wikimedia.org/wiki/Wp/ilp
Wikipedia Esan	Ishan	Incubator			ish		Esan					https://incubator.wikimedia.org/wiki/Wp/ish
Wikipedia Ishkashimi	škošmi zəvůk	Incubator			isk		Ishkashimi					https://incubator.wikimedia.org/wiki/Wp/isk
Wikipedia Interslavic	Medžuslovjansky / Меджусловјанскы	Incubator			isv		Interslavic					https://incubator.wikimedia.org/wiki/Wp/isv
Wikipedia Ingrian	Ižoran keel	Incubator			izh		Ingrian					https://incubator.wikimedia.org/wiki/Wp/izh
Wikipedia Jambi Malay	Baso Jambi	Incubator			jax		Jambi Malay					https://incubator.wikimedia.org/wiki/Wp/jax
Wikipedia Krymchak	Kırımçakça/Кърымчахча	Incubator			jct		Krymchak					https://incubator.wikimedia.org/wiki/Wp/jct
Wikipedia Judeo-Tat	Жугьури	Incubator			jdt		Judeo-Tat					https://incubator.wikimedia.org/wiki/Wp/jdt
Wikipedia Jeju	제주말	Incubator			jje		Jejueo					https://incubator.wikimedia.org/wiki/Wp/jje
Wikipedia Koro	jkr	Incubator			jkr		Koro (India)					https://incubator.wikimedia.org/wiki/Wp/jkr
Wikipedia Jarai	Jrai	Incubator			jra		Jarai					https://incubator.wikimedia.org/wiki/Wp/jra
Wikipedia Jutish	jysk	Incubator			jut		Jutish					https://incubator.wikimedia.org/wiki/Wp/jut
Wikipedia Judeo-Yemeni Arabic	jye	Incubator			jye		Judeo-Yemeni Arabic					https://incubator.wikimedia.org/wiki/Wp/jye
Wikipedia Jingpo	Jinghpaw ga	Incubator			kac		Kachin					https://incubator.wikimedia.org/wiki/Wp/kac
Wikipedia Karai-Karai	Karai-Karai	Incubator			kai		Karekare					https://incubator.wikimedia.org/wiki/Wp/kai
Wikipedia Jju	Diryem Jju	Incubator			kaj		Jju					https://incubator.wikimedia.org/wiki/Wp/kaj
Wikipedia Khanty	ханты ясаӈ	Incubator			kca		Khanty					https://incubator.wikimedia.org/wiki/Wp/kca
Wikipedia Kalanga	TjiKalanga	Incubator			kck		Kalanga					https://incubator.wikimedia.org/wiki/Wp/kck
Wikipedia Karaim	karaj tili	Incubator			kdr		Karaim					https://incubator.wikimedia.org/wiki/Wp/kdr
Wikipedia Cape Verdean Creole	kriolu kabuverdianu	Incubator			kea		Kabuverdianu					https://incubator.wikimedia.org/wiki/Wp/kea
Wikipedia Qʼeqchiʼ	Kekchi	Incubator			kek		Kekchí					https://incubator.wikimedia.org/wiki/Wp/kek
Wikipedia Ket	Остыганна ӄа'	Incubator			ket		Ket					https://incubator.wikimedia.org/wiki/Wp/ket
Wikipedia Koya	కోయా	Incubator			kff		Koya					https://incubator.wikimedia.org/wiki/Wp/kff
Wikipedia Kutchi	કચ્છી	Incubator			kfr		Kachhi					https://incubator.wikimedia.org/wiki/Wp/kfr
Wikipedia Bilaspuri	𑚠𑚮𑚥𑚭𑚨𑚞𑚱𑚤𑚯	Incubator			kfs		Bilaspuri					https://incubator.wikimedia.org/wiki/Wp/kfs
Wikipedia Tai Lue	ᦅᧄᦺᦑᦟᦹᧉ	Incubator			khb		Lü					https://incubator.wikimedia.org/wiki/Wp/khb
Wikipedia Khowar	کھوار	Incubator			khw		Khowar					https://incubator.wikimedia.org/wiki/Wp/khw
Wikipedia Koalib	Kowalib	Incubator			kib		Koalib					https://incubator.wikimedia.org/wiki/Wp/kib
Wikipedia Tofa	Тоъфа дыл	Incubator			kim		Karagas					https://incubator.wikimedia.org/wiki/Wp/kim
Wikipedia Sheshi kham	शेषी पाङ	Incubator			kip		Sheshi Kham					https://incubator.wikimedia.org/wiki/Wp/kip
Wikipedia Kirmanjki	Zazakiyê Zımey	Incubator			kiu		Kirmanjki (individual language)					https://incubator.wikimedia.org/wiki/Wp/kiu
Wikipedia Kwanyama	Oshikwanyama	Incubator			kj		Kuanyama					https://incubator.wikimedia.org/wiki/Wp/kj
Wikipedia Khakas	Хакас	Incubator			kjh		Khakas					https://incubator.wikimedia.org/wiki/Wp/kjh
Wikipedia Khinalug	каьтш мицӀ	Incubator			kjj		Khinalugh					https://incubator.wikimedia.org/wiki/Wp/kjj
Wikipedia Eastern Pwo	ဖၠုံလိက်	Incubator			kjp		Pwo Eastern Karen					https://incubator.wikimedia.org/wiki/Wp/kjp
Wikipedia Kosarek	Kosarek Yale	Incubator			kkl		Kosarek Yale					https://incubator.wikimedia.org/wiki/Wp/kkl
Wikipedia Kangean	Bĕsa Kangéan	Incubator			kkv		Kangean					https://incubator.wikimedia.org/wiki/Wp/kkv
Wikipedia Khorasani Turkish	خراسان تركچىسى	Incubator			kmz		Khorasani Turkish					https://incubator.wikimedia.org/wiki/Wp/kmz
Wikipedia Central Kanuri	Kànùrí	Incubator			knc		Central Kanuri					https://incubator.wikimedia.org/wiki/Wp/knc
Wikipedia Kankanaey	Kankana-ey	Incubator			kne		Kankanaey					https://incubator.wikimedia.org/wiki/Wp/kne
Wikipedia Maharashtri Konkani	महाराष्ट्रीय कोंकणी	Incubator			knn		Konkani (individual language)					https://incubator.wikimedia.org/wiki/Wp/knn
Wikipedia Kensiu	Kensiw	Incubator			kns		Kensiu					https://incubator.wikimedia.org/wiki/Wp/kns
Wikipedia Koho	Kơho	Incubator			kpm		Koho					https://incubator.wikimedia.org/wiki/Wp/kpm
Wikipedia Krio	Krio	Incubator			kri		Krio					https://incubator.wikimedia.org/wiki/Wp/kri
Wikipedia Kinaray-a	Kinaray-a	Incubator			krj		Kinaray-A					https://incubator.wikimedia.org/wiki/Wp/krj
Wikipedia Karelian	Karjalan kieli	Incubator			krl		Karelian					https://incubator.wikimedia.org/wiki/Wp/krl
Wikipedia Kurukh	कुड़ुख	Incubator			kru		Kurukh					https://incubator.wikimedia.org/wiki/Wp/kru
Wikipedia Bafia	Rikpa	Incubator			ksf		Bafia					https://incubator.wikimedia.org/wiki/Wp/ksf
Wikipedia S'gaw Karen	စှီၤ/ကညီကျိာ်	Incubator			ksw		S'gaw Karen					https://incubator.wikimedia.org/wiki/Wp/ksw
Wikipedia Kumyk	Къумукъ тил	Incubator			kum		Kumyk					https://incubator.wikimedia.org/wiki/Wp/kum
Wikipedia Western Kayah	ꤊꤢꤛꤢ꤭ ꤜꤟꤤ꤬	Incubator			kyu		Western Kayah					https://incubator.wikimedia.org/wiki/Wp/kyu
Wikipedia Kikai	シマユミタ	Incubator			kzg		Kikai					https://incubator.wikimedia.org/wiki/Wp/kzg
Wikipedia Kaidipang	kzp	Incubator			kzp		Kaidipang					https://incubator.wikimedia.org/wiki/Wp/kzp
Wikipedia Lepcha	ᰛᰩᰴ	Incubator			lep		Lepcha					https://incubator.wikimedia.org/wiki/Wp/lep
Wikipedia Kaili	Kaili	Incubator			lew		Ledo Kaili					https://incubator.wikimedia.org/wiki/Wp/lew
Wikipedia Lisu	ꓡꓲ-ꓢꓴ	Incubator			lis		Lisu					https://incubator.wikimedia.org/wiki/Wp/lis
Wikipedia Livonian	Līvõ	Incubator			liv		Liv					https://incubator.wikimedia.org/wiki/Wp/liv
Wikipedia Lampung Api	cawa Lampung	Incubator			ljp		Lampung Api					https://incubator.wikimedia.org/wiki/Wp/ljp
Wikipedia Laki	لکی/laki	Incubator			lki		Laki					https://incubator.wikimedia.org/wiki/Wp/lki
Wikipedia Lakota	Lakȟótiyapi	Incubator			lkt		Lakota					https://incubator.wikimedia.org/wiki/Wp/lkt
Wikipedia Malawi Lomwe	Elhomwe	Incubator			lon		Malawi Lomwe					https://incubator.wikimedia.org/wiki/Wp/lon
Wikipedia Louisiana Creole	Kouri-Vini	Incubator			lou		Louisiana Creole					https://incubator.wikimedia.org/wiki/Wp/lou
Wikipedia Northern Luri	لۊری شومالی	Incubator			lrc		Northern Luri					https://incubator.wikimedia.org/wiki/Wp/lrc
Wikipedia Achomi	اچُمی	Incubator			lrl		Lari					https://incubator.wikimedia.org/wiki/Wp/lrl
Wikipedia Luba-Katanga	Kiluba	Incubator			lu		Luba-Katanga					https://incubator.wikimedia.org/wiki/Wp/lu
Wikipedia Luba-Kasai	Tshiluba	Incubator			lua		Luba-Lulua					https://incubator.wikimedia.org/wiki/Wp/lua
Wikipedia Luvale	Chiluvale	Incubator			lue		Luvale					https://incubator.wikimedia.org/wiki/Wp/lue
Wikipedia Dholuo	Dholuo	Incubator			luo		Luo (Kenya and Tanzania)					https://incubator.wikimedia.org/wiki/Wp/luo
Wikipedia Mizo	Mizo	Incubator			lus		Lushai					https://incubator.wikimedia.org/wiki/Wp/lus
Wikipedia Southern Luri	لُری	Incubator			luz		Southern Luri					https://incubator.wikimedia.org/wiki/Wp/luz
Wikipedia Laz	ლაზური/Lazuri	Incubator			lzz		Laz					https://incubator.wikimedia.org/wiki/Wp/lzz
Wikipedia Magahi	𑂧𑂏𑂯𑂲/मगही/মগহী	Incubator			mag		Magahi					https://incubator.wikimedia.org/wiki/Wp/mag
Wikipedia Makassarese	ᨅᨔ ᨆᨀᨔᨑ/Basa Mangkasara'	Incubator			mak		Makasar					https://incubator.wikimedia.org/wiki/Wp/mak
Wikipedia Mampruli	Ŋmampulli	Incubator			maw		Mampruli					https://incubator.wikimedia.org/wiki/Wp/maw
Wikipedia Maguindanaon	Basa Magindanawn	Incubator			mdh		Maguindanaon					https://incubator.wikimedia.org/wiki/Wp/mdh
Wikipedia Kedah Malay	Pelet Utagha	Incubator			meo		Kedah Malay					https://incubator.wikimedia.org/wiki/Wp/meo
Wikipedia Hassaniya	حسانية	Incubator			mey		Hassaniyya					https://incubator.wikimedia.org/wiki/Wp/mey
Wikipedia Kelantan-Pattani Malay	Kecek Klate-Taning	Incubator			mfa		Pattani Malay					https://incubator.wikimedia.org/wiki/Wp/mfa
Wikipedia Bangka	Bahasa Bangka	Incubator			mfb		Bangka					https://incubator.wikimedia.org/wiki/Wp/mfb
Wikipedia Mauritian Creole	Morisyen	Incubator			mfe		Morisyen					https://incubator.wikimedia.org/wiki/Wp/mfe
Wikipedia Magar	मगर ढुट	Incubator			mgp		Eastern Magar					https://incubator.wikimedia.org/wiki/Wp/mgp
Wikipedia Marshallese	Mahjet	Incubator			mh		Marshallese					https://incubator.wikimedia.org/wiki/Wp/mh
Wikipedia Mi'kmaq	Míkmawísimk	Incubator			mic		Mi'kmaq					https://incubator.wikimedia.org/wiki/Wp/mic
Wikipedia Mandaic	ࡌࡀࡍࡃࡀࡉࡉ	Incubator			mid		Mandaic					https://incubator.wikimedia.org/wiki/Wp/mid
Wikipedia Karbi	Arleng	Incubator			mjw		Karbi					https://incubator.wikimedia.org/wiki/Wp/mjw
Wikipedia Mahali	ᱢᱟᱦᱟᱞᱤ	Incubator			mjx		Mahali					https://incubator.wikimedia.org/wiki/Wp/mjx
Wikipedia Kupang Malay	Basa Kupang	Incubator			mkn		Kupang Malay					https://incubator.wikimedia.org/wiki/Wp/mkn
Wikipedia Kituba	Monokutuba	Incubator			mkw		Kituba (Congo)					https://incubator.wikimedia.org/wiki/Wp/mkw
Wikipedia Manchu	ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ	Incubator			mnc		Manchu					https://incubator.wikimedia.org/wiki/Wp/mnc
Wikipedia Mandinka	Mandi'nka/ߡߊ߲߬ߘߌ߲߬ߞߊ/مَانْدِينْكَا	Incubator			mnk		Mandinka					https://incubator.wikimedia.org/wiki/Wp/mnk
Wikipedia Min Bei	Mâing-bă̤-ngṳ̌ / 閩北語	Incubator			mnp		Min Bei Chinese					https://incubator.wikimedia.org/wiki/Wp/mnp
Wikipedia Minriq	Menriq	Incubator			mnq		Minriq					https://incubator.wikimedia.org/wiki/Wp/mnq
Wikipedia Mansi	Маньси	Incubator			mns		Mansi					https://incubator.wikimedia.org/wiki/Wp/mns
Wikipedia Innu-aimun	Innu-aimun	Incubator			moe		Innu					https://incubator.wikimedia.org/wiki/Wp/moe
Wikipedia Mohawk	Kanien’kéha	Incubator			moh		Mohawk					https://incubator.wikimedia.org/wiki/Wp/moh
Wikipedia Moro	Dhimorong	Incubator			mor		Moro					https://incubator.wikimedia.org/wiki/Wp/mor
Wikipedia Mooré	Mooré	Incubator			mos		Mossi					https://incubator.wikimedia.org/wiki/Wp/mos
Wikipedia South Marquesan	ʻEo ʻenata	Incubator			mqm		South Marquesan					https://incubator.wikimedia.org/wiki/Wp/mqm
Wikipedia Mara	Mara	Incubator			mrh		Mara Chin					https://incubator.wikimedia.org/wiki/Wp/mrh
Wikipedia North Marquesan	ʻEo ʻenana	Incubator			mrq		North Marquesan					https://incubator.wikimedia.org/wiki/Wp/mrq
Wikipedia Margi	Margi	Incubator			mrt		Marghi Central					https://incubator.wikimedia.org/wiki/Wp/mrt
Wikipedia Muong	Thiểng Mường	Incubator			mtq		Muong					https://incubator.wikimedia.org/wiki/Wp/mtq
Wikipedia Musi	Pelémbang	Incubator			mui		Musi					https://incubator.wikimedia.org/wiki/Wp/mui
Wikipedia Muscogee	Mvskoke	Incubator			mus		Creek					https://incubator.wikimedia.org/wiki/Wp/mus
Wikipedia Inner Mongolian	ᠮᠣᠩᠭᠣᠯ	Incubator			mvf		Peripheral Mongolian					https://incubator.wikimedia.org/wiki/Wp/mvf
Wikipedia Hmong Daw	lus Hmoob / lug Moob / lol Hmongb	Incubator			mww		Hmong Daw					https://incubator.wikimedia.org/wiki/Wp/mww
Wikipedia Jamiltepec Mixtec	Cristobál-Chayuco	Incubator			mxt		Jamiltepec Mixtec					https://incubator.wikimedia.org/wiki/Wp/mxt
Wikipedia Macanese Patois	Patuá	Incubator			mzs		Macanese					https://incubator.wikimedia.org/wiki/Wp/mzs
Wikipedia Khoekhoe	Khoekhoegowab	Incubator			naq		Khoekhoe					https://incubator.wikimedia.org/wiki/Wp/naq
Wikipedia Central Huasteca Nahuatl	Nāhuatlahtōlli	Incubator			nch		Central Huasteca Nahuatl					https://incubator.wikimedia.org/wiki/Wp/nch
Wikipedia Classical Nahuatl	Nāhuatlahtōlli	Incubator			nci		Classical Nahuatl					https://incubator.wikimedia.org/wiki/Wp/nci
Wikipedia Northern Ndebele	isiNdebele saseNyakatho	Incubator			nd		North Ndebele					https://incubator.wikimedia.org/wiki/Wp/nd
Wikipedia Ndau	Chindau	Incubator			ndc		Ndau					https://incubator.wikimedia.org/wiki/Wp/ndc
Wikipedia Negidal	Неғида хэсэнин	Incubator			neg		Negidal					https://incubator.wikimedia.org/wiki/Wp/neg
Wikipedia Ndonga	Owambo	Incubator			ng		Ndonga					https://incubator.wikimedia.org/wiki/Wp/ng
Wikipedia Nǁng	ǂKhomani	Incubator			ngh		Nǁng					https://incubator.wikimedia.org/wiki/Wp/ngh
Wikipedia Guerrero Nahuatl	nawatlajtoli	Incubator			ngu		Guerrero Nahuatl					https://incubator.wikimedia.org/wiki/Wp/ngu
Wikipedia Eastern Huasteca Nahuatl	Mexkatl	Incubator			nhe		Eastern Huasteca Nahuatl					https://incubator.wikimedia.org/wiki/Wp/nhe
Wikipedia Central Nahuatl	Nauatlajtoli	Incubator			nhn		Central Nahuatl					https://incubator.wikimedia.org/wiki/Wp/nhn
Wikipedia Ngaju	Kutak Ngaju	Incubator			nij		Ngaju					https://incubator.wikimedia.org/wiki/Wp/nij
Wikipedia Southeastern Kolami	కొలామి	Incubator			nit		Southeastern Kolami					https://incubator.wikimedia.org/wiki/Wp/nit
Wikipedia Niuean	Ko e vagahau Niuē	Incubator			niu		Niuean					https://incubator.wikimedia.org/wiki/Wp/niu
Wikipedia Nivkh	нивх диф	Incubator			niv		Gilyak					https://incubator.wikimedia.org/wiki/Wp/niv
Wikipedia Njerep	Dʒū Njēré	Incubator			njr		Njerep					https://incubator.wikimedia.org/wiki/Wp/njr
Wikipedia Wancho	𞋒𞋀𞋉𞋃𞋕	Incubator			nnp		Wancho Naga					https://incubator.wikimedia.org/wiki/Wp/nnp
Wikipedia Northern Thai	กำเมือง	Incubator			nod		Northern Thai					https://incubator.wikimedia.org/wiki/Wp/nod
Wikipedia Nogai	Ногай тили	Incubator			nog		Nogai					https://incubator.wikimedia.org/wiki/Wp/nog
Wikipedia Old Norse	norrǿnt mál	Incubator			non		Old Norse					https://incubator.wikimedia.org/wiki/Wp/non
Wikipedia Southern Ndebele	isiNdebele seSewula	Incubator			nr		South Ndebele					https://incubator.wikimedia.org/wiki/Wp/nr
Wikipedia Niuafoʻou	Ko te lea faka Niuafoʻou	Incubator			num		Niuafo'ou					https://incubator.wikimedia.org/wiki/Wp/num
Wikipedia Nupe	Nupe	Incubator			nup		Nupe-Nupe-Tako					https://incubator.wikimedia.org/wiki/Wp/nup
Wikipedia Nuer	Thok Nath	Incubator			nus		Nuer					https://incubator.wikimedia.org/wiki/Wp/nus
Wikipedia Nkore	Runyankore	Incubator			nyn		Nyankole					https://incubator.wikimedia.org/wiki/Wp/nyn
Wikipedia Noongar	Noongar	Incubator			nys		Nyungar					https://incubator.wikimedia.org/wiki/Wp/nys
Wikipedia Nzema	Nzima	Incubator			nzi		Nzima					https://incubator.wikimedia.org/wiki/Wp/nzi
Wikipedia Orok	ульта / Ulta	Incubator			oaa		Orok					https://incubator.wikimedia.org/wiki/Wp/oaa
Wikipedia Northwestern Ojibwa	Ojibwemowin	Incubator			ojb		Northwestern Ojibwa					https://incubator.wikimedia.org/wiki/Wp/ojb
Wikipedia Oji-Cree	Anishininiimowin	Incubator			ojs		Severn Ojibwa					https://incubator.wikimedia.org/wiki/Wp/ojs
Wikipedia Okinoerabu	島ムニ	Incubator			okn		Oki-No-Erabu					https://incubator.wikimedia.org/wiki/Wp/okn
Wikipedia O'odham	ʼOʼodham ha-ñeʼokĭ	Incubator			ood		Tohono O'odham					https://incubator.wikimedia.org/wiki/Wp/ood
Wikipedia Osing	Using	Incubator			osi		Osing					https://incubator.wikimedia.org/wiki/Wp/osi
Wikipedia Mezquital Otomi	Hñahñu	Incubator			ote		Mezquital Otomi					https://incubator.wikimedia.org/wiki/Wp/ote
Wikipedia Querétaro Otomi	Hñohño	Incubator			otq		Querétaro Otomi					https://incubator.wikimedia.org/wiki/Wp/otq
Wikipedia Palauan	a tekoi	Incubator			pau		Palauan					https://incubator.wikimedia.org/wiki/Wp/pau
Wikipedia Bouyei	Giay	Incubator			pcc		Bouyei					https://incubator.wikimedia.org/wiki/Wp/pcc
Wikipedia Plautdietsch	Plautdietsch	Incubator			pdt		Plautdietsch					https://incubator.wikimedia.org/wiki/Wp/pdt
Wikipedia Petjo	Peco' Creole	Incubator			pey		Petjo					https://incubator.wikimedia.org/wiki/Wp/pey
Wikipedia Pahari-Potwari	پوٹھواری, پہاڑی	Incubator			phr		Pahari-Potwari					https://incubator.wikimedia.org/wiki/Wp/phr
Wikipedia Pitkern	Norfuk / Pitkern	Incubator			pih		Pitcairn-Norfolk					https://incubator.wikimedia.org/wiki/Wp/pih
Wikipedia Solomon Islands Pijin	Pijin blo'Solomon	Incubator			pis		Pijin					https://incubator.wikimedia.org/wiki/Wp/pis
Wikipedia Palenquero	pln	Incubator			pln		Palenquero					https://incubator.wikimedia.org/wiki/Wp/pln
Wikipedia Pamona	Pamona	Incubator			pmf		Pamona					https://incubator.wikimedia.org/wiki/Wp/pmf
Wikipedia Papuan Malay	Melayu Papua	Incubator			pmy		Papuan Malay					https://incubator.wikimedia.org/wiki/Wp/pmy
Wikipedia Pohnpeian	Mahsen en Pohnpei	Incubator			pon		Pohnpeian					https://incubator.wikimedia.org/wiki/Wp/pon
Wikipedia Polabian	Wenske	Incubator			pox		Polabian					https://incubator.wikimedia.org/wiki/Wp/pox
Wikipedia Pipil	Nawat	Incubator			ppl		Pipil					https://incubator.wikimedia.org/wiki/Wp/ppl
Wikipedia Prussian	Prūsiskan	Incubator			prg		Prussian					https://incubator.wikimedia.org/wiki/Wp/prg
Wikipedia Central Malay	Bengkulu	Incubator			pse		Central Malay					https://incubator.wikimedia.org/wiki/Wp/pse
Wikipedia Puyuma	Pinuyumayan	Incubator			pyu		Puyuma					https://incubator.wikimedia.org/wiki/Wp/pyu
Wikipedia Pazeh	Pazih	Incubator			pzh		Pazeh					https://incubator.wikimedia.org/wiki/Wp/pzh
Wikipedia Kʼicheʼ	Kʼicheʼ	Incubator			quc		K'iche'					https://incubator.wikimedia.org/wiki/Wp/quc
Wikipedia Kichwa	Kichwa	Incubator			qug		Chimborazo Highland Quichua					https://incubator.wikimedia.org/wiki/Wp/qug
Wikipedia Ancash Quechua	Nunashimi	Incubator			qwh		Huaylas Ancash Quechua					https://incubator.wikimedia.org/wiki/Wp/qwh
Wikipedia Puno Quechua	Punu	Incubator			qxp		Puno Quechua					https://incubator.wikimedia.org/wiki/Wp/qxp
Wikipedia Qashqai	Qashqay /قشقايی ديلى	Incubator			qxq		Qashqa'i					https://incubator.wikimedia.org/wiki/Wp/qxq
Wikipedia Rade	Klei Êđê	Incubator			rad		Rade					https://incubator.wikimedia.org/wiki/Wp/rad
Wikipedia Rajasthani	राजस्थानी	Incubator			raj		Rajasthani					https://incubator.wikimedia.org/wiki/Wp/raj
Wikipedia Rapa Nui	Arero rapa nui	Incubator			rap		Rapanui					https://incubator.wikimedia.org/wiki/Wp/rap
Wikipedia Cook Islands Māori	Maori Kuki Airani	Incubator			rar		Rarotongan					https://incubator.wikimedia.org/wiki/Wp/rar
Wikipedia Miraya Bikol	Miraya Bikol	Incubator			rbl		Miraya Bikol					https://incubator.wikimedia.org/wiki/Wp/rbl
Wikipedia Reunion creole	Kréol réyoné	Incubator			rcf		Réunion Creole French					https://incubator.wikimedia.org/wiki/Wp/rcf
Wikipedia Rejang	Hejang	Incubator			rej		Rejang					https://incubator.wikimedia.org/wiki/Wp/rej
Wikipedia Romagnol	Rumagnôl	Incubator			rgn		Romagnol					https://incubator.wikimedia.org/wiki/Wp/rgn
